conversation_id,Question,Answer,correctAnswer
room_1193,hi ~ how are you?? ~ tell me some things ~ I need to know some thing  abouth you ~ Plase give me some information abouth AI ~ How was the day?,i am fine,
room_1193,i live whith my familly ~ where are you from?,i also live with my family,
room_9025,Hlelo!,What is the name of John Coltrane's first album ~ hello,
room_7750,HI ~ hello? ~ is anyone here,hi,
room_7750,"well, im human and i would like my .50",okey i also,
room_7750,is that proof enough? ~ also i hate elon musk ~ i dont know how long we have to do this,tell me your self more,
room_7750,more about me? my best friend is my dog ida. we went to the park after i worked. ~ i played pokemon go ~ now im wasting time mturk,how much we spend time here,
room_7750,i dont knwo,whats your name?,
room_7750,it says i have to keep message ~ denny ~ whats yours,jannifer ~ nice to meet you,
room_8720,Hello,Hi ~ How are you? How was the day?,
room_8720,"Pretty good, just a regular day for me.  How about you?","Hi! are you there? ~ I'm doing great. What do you think about AI technology? ~ Do you like to chat with AI ~ I love to interact with AI as it is very interesting. ~ Human like AI technology is really interesting. ~ What do you think about it? ~ Also I love trekking ~ I love nature, AI technology is interesting but not that important as nature ~ I love roses",
room_1820,hi,"Hello, yes i am human ~ I am a Turker ~ hello?",
room_1820,ok,are u a human? lol ~ hello,
room_1820,yes,how would I know you are? lol ~ hellloooo ~ ???????? ~ okay i quit ~ I have stuff to do so we're not getting on with chatting here then I'm bouncing ~ so we're not getting on with chatting here then I'm bouncing ~ hellloooo ~ How long do I need to do this and not get a response but I have to send it so I don't time out is anybody there or or what's up ~ ok Thanks for your responses you are so helpful,
room_4040,Hello how are you this evening?,"Im doing great, wby?",
room_4040,Oh not too bad just tired.  Just got done working. ~ What are you up to?,"Oh, you're done working but still working lol ~ I guess I can say the same as well",
room_4040,Lol yeah good point. ~ Ok just finished my job that pays decent money then.,Do you mind if I ask what you do for a living?,
room_4040,I’m a conductor for the railroad. ~ Lots of funky hours and time spent in a hotel.,"Wow. Is that a hectic job? ~ Ohh, that's crazy.. Im in the real estate firm",
room_4040,Not too bad. The hardest part is usually staying awake. Lots of time staring out of a windshield and fighting sleep lol. ~ Do you enjoy it?,"Lol, that's true about your job.. Which shift do you do?",
room_4422,HI,"Hey there, I just made some chocolate milk with OATLY and cocoa powder and Trader Joe’s maple syrup because I had nothing for dessert. I had to climb up to a high shelf but didn’t unfold my kitchen stool at first—just tried to climb it leaned against the shelf and nearly fell! ~ My apartment is too small so I have stuff up really high. ~ I’m sitting here with my dogs and my daughter’s dogs she left with me (eight dogs in total) trying to make a few bucks before I go to bed. ~ Are you going to chat back? ~ I’ve spoken to the eight dogs, my disrespectful daughter, and my narcissistic mother ho has dementia now today. ~ Would love to speak to a normal person. ~ Should say “who has dementia,” not “ho.” ~ I worked on setting up the handles and accounts for my dogs’ social media presence today. ~ I also have a comedy channel. ~ I wear Birkenstocks because I have peripheral neuropathy after breast cancer.",
room_1537,Hello,HI,
room_1537,I like to eat food ~ do you eat food ~ ? ~ hello? ~ are you there? ~ this is boring,IT'S HUMAN,
room_1537,why are you not chatting? ~ ok ~ what you do today?,WHAT IS THE MEANING OF AI,
room_1537,i want to earn 50 cents ~ AI is garbage and doesnt even work good,HOW,
room_1537,by proving i am human ~ do u use chatgpt ever? ~ its pretty useless,OK,
room_1537,so are u human?,YES,
room_1537,prove it ~ whats ur fav movie ~ do u surf?,HARRY POTTER,
room_1537,ok u r human too ~ when is this chat over ~ i think we earned our 50 cents,HOW MUCH TIME TAKE THIS CHAT,
room_1826,hiii,hello,
room_1826,how are you,Im finr what about you,
room_1826,great ~ where you do for living,good ~ where are you from,
room_1826,USA california ~ and you?,usa indiana,
room_1826,what is your favorite drink,wisky and you,
room_1826,me too,i love rum also,
room_9338,Hii,Hello ~ How are you,
room_9338,great. what about you?,im fine ~ where are you from,
room_9338,Texas ~ you?,usa indiana,
room_9338,what you eat tomorrow lunch,what do you do for living ~ pizza ~ and you,
room_9338,I ate cement with red brick,haaa haaa lol,
room_4294,hii,hello,
room_4294,whats going on,nothing what about ypu,
room_4294,drinking alcohol ~ what is your favorite drink,what wisky or rum ~ i loved rum,
room_4294,Great me too ~ where you from,usa indiana ~ and you,
room_6681,Hello,"Hello, I just ate a blueberry muffin.  I am also drinking a black coffee right now.  How are you?",
room_6681,I'm fine. Up early I work at 7 am,"I am eventually going to be late for work if I don't get ready soon. ~ Wow, me too. ~ lol ~ You seem to be human.",
room_6681,What do you do?,I have to brush my teeth or I will get a cavity. ~ How is the weather there? ~ I work at a gas station.,
room_6681,cold,Yes ~ I wonder how long we have to chat here.,
